Sampling fequency [Hz]:	100	x-velocity [mm/s]: 	100	Track length [mm]:	10	Cycles:	9000
Fx	Fy	Fz	Tx	Ty	Tz	x-Position
-1.830	-0.034	-16.288	0.087	-0.153	-0.016	7725.000
-3.294	-0.237	-15.143	0.091	-0.184	-0.005	7725.000
-2.463	-0.249	-15.847	0.078	-0.163	-0.006	7725.000
-2.332	-0.085	-13.607	0.071	-0.180	-0.007	7725.000
-2.752	-0.629	-13.741	0.084	-0.210	0.010	7725.000
-3.071	0.169	-14.328	0.080	-0.214	-0.010	7725.000
-1.172	-0.123	-14.944	0.076	-0.176	-0.014	7725.000
0.007	0.343	-13.823	0.058	-0.135	-0.004	7725.000
-1.776	-0.299	-13.989	0.066	-0.164	-0.021	7725.000
-1.729	-0.245	-12.178	0.067	-0.188	-0.010	7725.000
-2.681	-0.351	-11.937	0.078	-0.223	-0.010	7725.000
-1.938	0.125	-11.668	0.080	-0.205	-0.015	822.000
-2.072	0.436	-11.299	0.074	-0.203	-0.006	573.000
-1.125	-0.562	-12.894	0.067	-0.176	-0.009	401.000
-0.861	0.681	-11.968	0.064	-0.195	-0.009	401.000
-1.517	2.584	-8.224	0.071	-0.216	-0.003	401.000
-4.205	-2.122	-14.357	0.065	-0.174	-0.007	67.000
-2.369	-0.393	-13.627	0.070	-0.224	-0.011	43.000
-2.255	0.536	-12.330	0.086	-0.255	-0.013	43.000
-1.607	-0.418	-12.961	0.074	-0.198	0.001	43.000
-1.958	0.050	-13.853	0.064	-0.216	-0.010	0.000
-0.806	0.261	-13.093	0.068	-0.194	-0.002	0.000
-1.216	-0.271	-13.929	0.070	-0.190	-0.009	0.000
-0.836	0.086	-13.253	0.068	-0.195	-0.004	1.000
0.944	0.251	-13.208	0.078	-0.178	0.009	12.000
-1.339	-2.449	-12.797	0.096	-0.188	0.027	12.000
-0.724	1.049	-13.711	0.064	-0.174	0.026	12.000
4.881	1.684	-8.849	0.079	-0.138	0.001	351.000
3.399	0.087	-16.605	0.074	-0.109	-0.006	351.000
5.755	-0.271	-15.572	0.071	-0.144	0.024	634.000
1.966	-0.650	-18.482	0.081	-0.104	0.008	634.000
3.191	-0.322	-17.085	0.082	-0.154	0.016	634.000
1.980	0.358	-17.953	0.090	-0.135	0.009	1467.000
2.460	-0.644	-17.684	0.084	-0.154	0.015	1771.000
3.377	0.078	-19.405	0.096	-0.153	0.013	1771.000
2.567	0.908	-19.215	0.100	-0.150	0.007	1771.000
3.257	-0.376	-20.255	0.095	-0.120	0.014	2973.000
1.998	0.365	-20.019	0.102	-0.142	0.001	3466.000
3.622	0.688	-21.223	0.105	-0.077	0.020	3612.000
1.874	-0.186	-20.995	0.110	-0.109	0.003	3991.000
4.574	0.355	-21.672	0.102	-0.089	0.017	3991.000
3.719	-0.300	-21.816	0.111	-0.072	-0.000	5260.000
2.928	-0.022	-22.432	0.111	-0.056	0.020	5691.000
4.609	0.609	-22.593	0.114	-0.043	0.009	5691.000
3.001	0.111	-22.687	0.113	-0.047	0.004	5691.000
4.135	0.342	-22.752	0.115	-0.061	0.018	5691.000
3.074	-0.071	-23.023	0.117	-0.015	0.005	5691.000
4.220	0.043	-22.993	0.116	-0.035	0.023	7271.000
2.819	0.180	-23.587	0.119	-0.009	0.015	7388.000
3.184	0.014	-23.072	0.114	-0.022	0.001	7610.000
2.736	0.757	-20.833	0.111	-0.000	0.019	7760.000
9.056	0.048	-22.280	0.109	-0.026	0.019	7832.000
3.765	-1.007	-19.809	0.097	-0.048	0.013	7832.000
4.943	0.388	-20.865	0.112	0.019	0.031	7832.000
1.674	-0.791	-20.683	0.104	0.002	-0.004	8000.000
5.121	0.088	-21.091	0.106	0.026	0.016	8000.000
3.086	0.011	-22.218	0.110	0.018	0.007	8000.000
3.398	-0.071	-21.635	0.106	-0.008	0.007	8000.000
2.586	0.200	-20.132	0.104	-0.027	0.002	7990.000
-2.458	-0.207	-17.869	0.098	-0.083	-0.011	7917.000
-3.619	1.248	-18.763	0.074	-0.185	-0.028	7831.000
-4.387	-1.045	-13.867	0.079	-0.195	0.014	7733.000
-3.685	0.311	-15.791	0.103	-0.184	-0.018	7567.000
-4.852	-0.608	-17.138	0.090	-0.164	-0.018	7370.000
-1.860	0.539	-15.826	0.086	-0.180	0.012	7191.000
-3.406	0.145	-16.227	0.091	-0.149	-0.020	7134.000
-2.616	-0.235	-15.559	0.085	-0.138	-0.016	7134.000
-2.888	-0.326	-15.639	0.082	-0.144	-0.013	7134.000
-2.475	-0.056	-14.959	0.084	-0.156	-0.013	7134.000
-3.789	-0.457	-15.176	0.089	-0.180	-0.006	5759.000
-1.787	-0.332	-16.105	0.083	-0.135	-0.017	5178.000
-3.395	0.004	-16.147	0.087	-0.184	-0.011	4844.000
-2.810	-0.028	-17.068	0.087	-0.178	-0.027	4393.000
-1.632	0.709	-16.539	0.087	-0.169	-0.028	4393.000
-3.276	0.111	-14.217	0.080	-0.203	-0.036	4393.000
-2.666	0.080	-13.893	0.089	-0.198	0.007	2978.000
-4.079	0.031	-14.668	0.086	-0.235	-0.029	2500.000
-0.207	0.193	-15.845	0.079	-0.170	-0.013	2396.000
-2.027	0.198	-14.627	0.060	-0.178	-0.003	2396.000
-0.565	-0.185	-13.537	0.064	-0.148	-0.023	2396.000
-2.844	0.480	-13.614	0.073	-0.232	-0.010	1139.000
-2.443	0.126	-14.007	0.095	-0.235	-0.022	921.000
-2.473	0.469	-13.295	0.091	-0.237	-0.007	921.000
-3.061	-1.058	-15.043	0.079	-0.203	-0.015	921.000
-2.113	-0.400	-13.884	0.074	-0.213	-0.025	323.000
-1.480	-0.157	-17.243	0.078	-0.275	0.007	194.000
-8.004	-4.438	-20.463	0.069	-0.253	-0.001	95.000
-4.681	-0.254	-19.180	0.098	-0.265	-0.015	95.000
-2.894	0.898	-15.399	0.096	-0.374	-0.008	95.000
-3.576	-0.451	-16.960	0.105	-0.310	-0.007	95.000
-2.996	-0.124	-17.787	0.101	-0.295	-0.013	95.000
-2.254	0.465	-16.358	0.092	-0.289	-0.011	95.000
-2.273	-0.222	-17.967	0.089	-0.265	-0.010	0.000
0.677	-0.089	-19.057	0.097	-0.238	-0.006	12.000
-2.557	-0.433	-19.993	0.112	-0.225	0.007	41.000
4.408	-2.657	-18.143	0.115	-0.133	0.011	41.000
5.102	2.544	-16.098	0.097	-0.228	0.027	259.000
4.959	0.874	-18.946	0.091	-0.140	-0.005	386.000
2.060	-0.754	-21.054	0.101	-0.132	0.014	386.000
5.289	0.625	-20.422	0.107	-0.163	0.008	386.000
3.911	-0.523	-20.503	0.099	-0.147	0.010	386.000
4.516	-0.017	-20.483	0.104	-0.175	0.018	1355.000
2.631	-0.110	-21.000	0.106	-0.143	0.022	1645.000
3.577	0.344	-21.141	0.105	-0.179	0.013	1898.000
2.613	0.372	-21.571	0.108	-0.155	0.008	2314.000
4.209	-0.046	-21.593	0.105	-0.132	0.020	2314.000
2.800	0.728	-21.750	0.116	-0.146	0.012	2314.000
4.757	-0.522	-22.690	0.106	-0.114	0.006	3616.000
3.972	0.023	-22.789	0.118	-0.082	0.021	3736.000
4.331	-0.215	-22.989	0.114	-0.088	0.031	3736.000
4.814	0.120	-23.402	0.118	-0.069	0.013	3736.000
3.215	0.013	-23.300	0.114	-0.096	0.022	5484.000
4.156	0.441	-22.366	0.115	-0.046	0.012	5885.000
4.022	0.186	-23.189	0.119	-0.054	0.004	6001.000
3.551	-0.502	-23.503	0.115	-0.034	0.011	6001.000
3.162	0.123	-23.383	0.120	-0.037	0.018	6001.000
3.612	-0.261	-23.844	0.118	-0.025	0.005	7003.000
4.790	-0.154	-24.187	0.120	-0.022	0.016	7003.000
3.610	-0.184	-23.822	0.120	0.001	0.024	7519.000
4.417	-0.458	-23.962	0.118	0.000	-0.001	7519.000
3.231	-0.466	-24.605	0.117	0.038	0.014	7519.000
-1.351	-0.575	-25.232	0.114	0.028	-0.003	7519.000
7.826	1.059	-21.435	0.122	-0.017	0.019	7963.000
0.505	-0.306	-23.349	0.117	-0.031	0.027	7999.000
3.918	0.026	-20.788	0.106	-0.029	0.013	8000.000
