Sampling fequency [Hz]:	100	x-velocity [mm/s]: 	100	Track length [mm]:	10	Cycles:	9000
Fx	Fy	Fz	Tx	Ty	Tz	x-Position
-2.777	0.307	-21.346	0.072	0.158	-0.010	7977.000
-5.783	0.723	-20.503	0.059	0.112	-0.008	7863.000
-3.821	-0.492	-22.252	0.057	0.132	-0.011	7748.000
-3.479	-0.398	-19.920	0.065	0.168	-0.008	7612.000
-4.607	0.411	-20.923	0.070	0.172	-0.022	7517.000
-4.360	0.028	-21.458	0.073	0.163	-0.019	7232.000
-0.750	-0.524	-18.004	0.061	0.168	0.006	6984.000
-1.854	-0.265	-18.898	0.061	0.151	-0.010	6701.000
-1.881	-0.020	-18.934	0.062	0.147	0.000	6431.000
-3.851	0.086	-20.246	0.063	0.158	-0.026	6088.000
-3.225	-0.102	-19.928	0.072	0.132	0.016	5825.000
2.585	-0.804	-14.665	0.059	0.142	-0.022	5291.000
-2.061	-0.169	-18.538	0.059	0.126	0.004	5026.000
1.545	-0.589	-14.610	0.064	0.106	-0.012	4407.000
-2.880	0.100	-17.935	0.056	0.143	0.006	3933.000
1.296	-0.923	-12.864	0.055	0.073	-0.061	3933.000
1.186	0.018	-15.112	0.055	0.107	0.041	3933.000
-2.155	-0.409	-15.507	0.061	0.061	-0.009	2572.000
1.480	-0.405	-14.288	0.048	0.069	0.009	2184.000
-2.454	-0.488	-16.810	0.058	0.010	-0.028	1818.000
-1.928	-0.244	-16.739	0.059	0.040	0.015	1479.000
-0.902	-0.081	-16.459	0.062	0.009	-0.012	1211.000
-2.272	0.315	-19.412	0.063	0.011	-0.001	1094.000
-3.777	0.225	-19.989	0.066	0.003	-0.023	847.000
-1.316	0.114	-18.809	0.066	-0.010	-0.001	520.000
-1.956	0.004	-19.618	0.072	0.016	-0.018	442.000
-0.244	0.569	-19.163	0.078	-0.006	-0.019	227.000
2.141	0.413	-20.006	0.082	-0.089	0.009	137.000
-6.624	-0.430	-20.342	0.071	0.036	-0.029	47.000
-3.538	0.407	-20.220	0.078	-0.064	-0.005	9.000
-3.585	-0.276	-21.557	0.074	-0.045	-0.013	0.000
-1.342	-0.301	-20.681	0.075	0.014	-0.007	28.000
0.177	-0.594	-21.765	0.074	0.146	0.001	88.000
1.457	-0.137	-22.619	0.060	0.162	0.019	164.000
2.220	0.422	-19.975	0.071	0.129	0.006	228.000
5.979	-0.314	-20.638	0.074	0.203	0.007	436.000
4.732	-0.194	-19.239	0.071	0.180	-0.001	529.000
5.494	-0.176	-21.085	0.069	0.167	0.017	841.000
4.545	-0.148	-19.715	0.068	0.181	0.001	958.000
5.850	-0.481	-20.034	0.067	0.193	0.012	1361.000
3.336	-0.351	-20.313	0.067	0.162	0.005	1685.000
4.127	-0.076	-20.517	0.065	0.175	0.021	1940.000
3.734	-0.084	-20.807	0.064	0.210	0.007	2354.000
5.150	-0.262	-22.324	0.062	0.222	0.017	2720.000
4.949	-0.075	-21.542	0.069	0.221	-0.002	3254.000
4.177	-0.225	-21.485	0.068	0.246	0.007	3467.000
3.884	0.085	-22.482	0.075	0.267	0.017	3467.000
5.703	-0.223	-23.585	0.074	0.292	0.010	4608.000
6.002	-0.171	-22.512	0.078	0.326	0.037	5157.000
4.529	-0.199	-22.877	0.078	0.306	-0.012	5412.000
3.969	-0.021	-23.476	0.078	0.323	0.031	5917.000
2.422	-0.182	-22.984	0.073	0.317	0.010	6203.000
4.331	0.120	-22.902	0.062	0.337	0.006	6400.000
3.627	-0.439	-22.659	0.058	0.328	0.014	6866.000
4.035	-0.268	-22.930	0.068	0.343	0.019	6866.000
5.284	-0.406	-22.801	0.076	0.364	0.002	6866.000
4.896	-0.446	-22.257	0.080	0.377	0.025	7433.000
5.411	-0.486	-21.986	0.074	0.379	0.012	7629.000
2.480	-1.038	-22.396	0.073	0.388	0.006	7798.000
0.576	-1.423	-20.479	0.063	0.304	0.012	7883.000
6.672	0.282	-18.349	0.062	0.329	0.017	7937.000
1.949	-0.526	-18.829	0.058	0.292	0.009	7993.000
3.865	-0.037	-18.533	0.057	0.269	0.007	7998.000
1.544	-0.412	-18.815	0.053	0.237	-0.001	7990.000
-2.741	-0.299	-17.174	0.065	0.204	-0.004	7946.000
1.303	0.262	-19.055	0.060	0.177	-0.007	7874.000
-10.195	-0.938	-18.667	0.056	0.260	-0.023	7770.000
1.856	-0.010	-19.230	0.070	0.156	-0.013	7674.000
-2.988	-0.714	-20.632	0.073	0.172	-0.002	7429.000
0.025	-0.095	-18.057	0.065	0.152	-0.014	7247.000
-1.978	-0.330	-19.430	0.063	0.143	0.000	7070.000
-0.566	-0.326	-17.312	0.059	0.151	-0.010	6773.000
-2.025	-0.230	-19.020	0.062	0.166	0.008	6419.000
-3.166	-0.151	-20.301	0.060	0.167	-0.026	6055.000
-3.238	0.176	-20.259	0.067	0.165	-0.010	5723.000
1.064	-0.560	-17.106	0.067	0.124	-0.007	5296.000
-0.248	-0.365	-15.716	0.062	0.119	-0.008	4970.000
-4.566	0.146	-18.844	0.052	0.105	0.010	4603.000
0.680	-0.713	-15.069	0.057	0.073	-0.009	3975.000
-0.284	0.254	-15.679	0.065	0.093	-0.051	3534.000
-2.320	0.089	-17.828	0.058	0.088	0.060	3092.000
1.244	-0.580	-13.171	0.052	0.074	-0.049	2608.000
-1.827	-0.340	-18.107	0.062	0.069	0.015	2502.000
0.219	-0.356	-16.507	0.063	0.072	0.004	1860.000
0.330	-0.720	-17.279	0.056	0.086	-0.018	1582.000
-1.684	0.069	-20.730	0.074	0.041	-0.008	1264.000
-0.741	-0.166	-17.969	0.069	0.026	0.014	1020.000
0.069	-0.436	-16.755	0.064	0.013	-0.034	799.000
-1.000	-0.030	-19.443	0.066	0.046	0.016	535.000
-3.147	-0.020	-19.466	0.072	-0.012	-0.019	374.000
-3.279	-0.440	-17.422	0.069	0.002	-0.015	264.000
-1.259	-0.534	-21.384	0.069	-0.040	0.001	137.000
-0.944	-0.202	-20.594	0.076	-0.035	-0.007	79.000
-5.524	0.121	-21.306	0.078	-0.034	-0.017	79.000
-4.257	0.053	-19.538	0.064	-0.022	-0.014	0.000
-2.903	-0.165	-19.263	0.071	-0.040	-0.005	9.000
2.345	-0.536	-20.641	0.074	0.146	-0.006	46.000
8.598	-0.371	-18.918	0.088	0.100	0.038	46.000
-1.842	-1.225	-18.493	0.077	0.301	-0.017	237.000
