Sampling fequency [Hz]:	100	x-velocity [mm/s]: 	100	Track length [mm]:	10	Cycles:	9000
Fx	Fy	Fz	Tx	Ty	Tz	x-Position
7.200	-1.372	-19.731	0.075	0.407	0.033	7798.000
3.596	-1.980	-21.750	0.078	0.411	-0.009	7897.000
11.264	0.166	-19.075	0.087	0.389	0.055	7962.000
6.210	-0.069	-20.814	0.089	0.402	0.032	7962.000
8.916	-0.425	-20.854	0.080	0.388	0.022	7962.000
6.919	-0.446	-21.868	0.078	0.391	0.006	7962.000
6.750	-0.585	-21.388	0.080	0.395	0.021	7998.000
1.834	0.169	-26.551	0.085	0.376	0.002	7946.000
-0.274	-0.811	-27.725	0.086	0.323	-0.018	7874.000
-0.537	2.090	-26.606	0.082	0.115	0.006	7874.000
-7.581	-0.199	-28.630	0.092	0.226	-0.031	7874.000
-4.820	-0.441	-23.469	0.086	0.137	-0.025	7874.000
-4.918	-0.183	-25.064	0.089	0.156	-0.018	7371.000
-7.994	-0.241	-24.891	0.087	0.123	-0.030	7371.000
-7.342	-0.403	-24.843	0.091	0.130	-0.035	7371.000
-7.029	-0.201	-25.344	0.092	0.070	-0.023	6715.000
-4.158	-0.803	-21.352	0.091	0.143	-0.016	6715.000
-3.907	-0.556	-21.193	0.089	0.136	-0.038	6715.000
-4.370	-0.070	-20.572	0.080	0.094	-0.004	5427.000
-1.498	-0.607	-18.967	0.078	0.109	-0.041	5287.000
-0.999	-1.184	-17.028	0.074	0.110	0.015	5287.000
-0.294	-0.019	-20.302	0.074	0.089	-0.030	5287.000
-2.863	-0.652	-23.787	0.076	0.179	-0.005	3736.000
-3.361	0.657	-19.019	0.084	0.075	0.004	3416.000
2.703	-1.226	-18.744	0.065	0.075	-0.039	3416.000
-3.241	-0.040	-19.749	0.069	0.028	0.017	2306.000
-3.484	0.108	-21.396	0.061	0.045	-0.031	2085.000
-2.322	-0.171	-16.685	0.072	0.033	0.001	2085.000
-0.680	-0.125	-16.666	0.060	0.067	-0.017	2085.000
-2.384	-0.340	-19.926	0.064	0.030	-0.006	996.000
-2.563	-0.736	-16.971	0.066	0.056	-0.024	931.000
-0.308	-0.209	-15.030	0.068	0.031	0.002	931.000
-1.005	-0.779	-16.181	0.059	0.016	-0.015	931.000
-1.050	-0.111	-16.044	0.063	0.019	-0.004	300.000
-5.066	0.077	-17.255	0.060	0.062	-0.019	214.000
-1.995	0.337	-18.299	0.071	0.044	-0.013	86.000
-1.426	-0.655	-15.587	0.056	0.020	0.000	13.000
-0.674	0.322	-17.852	0.063	0.002	-0.020	0.000
-3.264	-0.231	-17.032	0.060	-0.025	-0.004	0.000
-1.977	0.133	-16.271	0.056	-0.025	-0.001	0.000
-1.951	-0.308	-17.579	0.059	0.015	-0.007	2.000
0.343	-0.435	-18.815	0.067	0.099	0.002	27.000
0.797	0.038	-21.343	0.063	0.180	0.000	122.000
5.480	0.858	-21.760	0.081	0.085	0.020	183.000
5.896	-0.690	-22.078	0.077	0.218	0.001	183.000
8.218	-0.338	-21.442	0.086	0.246	0.018	590.000
8.037	-0.403	-23.530	0.075	0.267	0.008	738.000
9.346	-0.251	-22.706	0.073	0.276	0.050	738.000
10.020	-0.118	-22.663	0.073	0.296	0.007	738.000
10.970	-0.665	-23.825	0.069	0.344	0.042	1618.000
11.074	-0.185	-23.921	0.075	0.351	0.014	1905.000
11.394	-0.096	-21.562	0.077	0.368	0.042	2252.000
12.322	-0.338	-20.849	0.073	0.370	0.029	2252.000
11.840	-0.010	-20.553	0.078	0.373	0.059	2252.000
13.773	-0.579	-18.399	0.064	0.383	0.023	3670.000
13.229	-0.219	-18.926	0.069	0.381	0.033	3670.000
14.226	-0.308	-17.661	0.069	0.386	0.047	3670.000
15.736	-0.556	-15.470	0.069	0.397	0.028	5085.000
13.520	-0.405	-16.205	0.077	0.402	0.049	5229.000
16.724	-0.676	-13.501	0.072	0.407	0.064	5229.000
14.725	-0.663	-14.785	0.068	0.410	-0.013	5229.000
15.465	-0.289	-14.169	0.078	0.407	0.088	6561.000
13.508	-0.627	-16.296	0.086	0.403	-0.004	6724.000
13.074	-0.599	-15.370	0.083	0.411	0.057	6724.000
13.704	-0.858	-14.669	0.076	0.415	0.033	7241.000
11.944	-0.813	-17.489	0.078	0.400	0.037	7443.000
9.912	-0.576	-19.722	0.081	0.393	0.010	7443.000
5.179	-1.141	-18.123	0.077	0.431	0.028	7443.000
9.216	-1.114	-20.401	0.079	0.391	0.017	7897.000
9.720	0.152	-18.066	0.090	0.407	0.020	7897.000
9.337	-0.799	-19.538	0.080	0.397	0.031	7897.000
10.314	-0.381	-19.894	0.079	0.389	0.023	8000.000
7.081	-0.495	-22.158	0.082	0.387	0.012	7998.000
3.153	-0.588	-24.587	0.086	0.388	0.003	7957.000
-0.137	0.388	-27.334	0.093	0.328	0.006	7957.000
-12.489	-1.850	-28.021	0.059	0.246	-0.031	7957.000
-3.642	-0.069	-26.667	0.090	0.178	-0.014	7606.000
-4.902	-0.434	-26.332	0.086	0.190	-0.023	7606.000
-6.076	0.191	-25.238	0.091	0.157	-0.026	7606.000
-7.318	0.015	-26.898	0.086	0.105	-0.032	7606.000
-7.780	-0.293	-26.069	0.096	0.131	-0.035	6856.000
-7.223	-1.135	-25.123	0.092	0.066	-0.003	6856.000
-5.822	-0.279	-25.187	0.088	0.127	-0.058	6109.000
-9.186	-0.022	-24.353	0.090	0.115	0.003	5777.000
-6.494	-0.077	-23.028	0.081	0.098	-0.055	5777.000
-6.290	0.219	-23.620	0.074	0.100	-0.007	5777.000
-5.608	-0.119	-23.185	0.079	0.075	-0.038	4654.000
-4.412	-0.118	-19.965	0.074	0.094	0.010	4163.000
-0.098	-0.526	-18.486	0.072	0.061	-0.065	4163.000
-4.217	-0.679	-22.216	0.073	0.061	0.038	4163.000
-5.001	0.372	-19.605	0.062	0.064	-0.035	2672.000
-3.150	-0.543	-15.990	0.065	-0.010	-0.025	2564.000
-2.179	0.139	-17.173	0.067	-0.010	0.010	2564.000
-5.665	-0.098	-20.320	0.061	-0.024	-0.012	2564.000
-4.549	0.477	-18.502	0.068	-0.033	-0.023	1242.000
-3.459	-0.813	-15.579	0.054	0.009	-0.017	985.000
-3.470	0.306	-18.230	0.063	-0.004	-0.014	909.000
-1.510	0.044	-18.523	0.058	0.007	-0.024	909.000
-2.552	-0.406	-16.856	0.062	0.023	-0.003	909.000
0.017	-0.531	-14.319	0.059	0.017	-0.004	276.000
3.606	0.192	-15.536	0.058	-0.048	-0.001	122.000
-2.290	-0.568	-15.690	0.054	0.006	0.002	62.000
-2.574	0.435	-15.505	0.057	-0.034	-0.010	21.000
-2.872	-0.351	-14.138	0.040	0.003	-0.012	21.000
-3.066	0.004	-14.047	0.050	-0.036	0.000	21.000
-2.410	-0.262	-15.187	0.052	-0.008	-0.009	0.000
2.289	-0.487	-15.283	0.058	0.084	-0.001	27.000
2.322	-1.050	-19.215	0.084	0.044	0.001	27.000
3.901	-0.588	-19.915	0.070	0.199	0.013	27.000
4.428	-1.056	-19.214	0.052	0.126	0.004	281.000
5.396	0.095	-22.655	0.071	0.168	0.021	330.000
4.091	-0.213	-23.187	0.060	0.222	0.011	640.000
11.714	0.514	-22.428	0.068	0.271	0.044	811.000
10.638	-0.134	-23.325	0.069	0.357	0.033	897.000
13.778	-0.337	-22.111	0.066	0.351	0.027	897.000
12.007	-0.150	-21.702	0.073	0.363	0.053	897.000
13.555	-0.237	-21.063	0.070	0.362	0.005	2067.000
14.837	0.008	-19.614	0.070	0.365	0.061	2445.000
15.220	0.014	-18.752	0.068	0.371	0.042	2829.000
15.915	-0.480	-17.282	0.076	0.380	0.050	3262.000
15.560	-0.496	-19.882	0.075	0.361	0.029	3262.000
16.665	-0.430	-15.595	0.074	0.391	0.039	3262.000
14.996	-0.367	-17.706	0.076	0.381	0.063	4719.000
16.507	-0.532	-15.300	0.079	0.395	0.028	4837.000
15.283	-0.613	-15.425	0.081	0.399	0.056	4837.000
17.050	-0.879	-13.244	0.082	0.408	0.067	5692.000
17.714	-0.741	-12.089	0.077	0.416	0.019	5692.000
18.543	-0.454	-11.626	0.063	0.413	0.057	5692.000
16.815	-0.683	-12.175	0.069	0.419	0.036	6844.000
17.076	-0.469	-12.342	0.073	0.416	0.039	7025.000
15.408	-0.848	-14.803	0.084	0.404	0.047	7025.000
12.669	-0.852	-15.959	0.086	0.410	0.021	7025.000
12.884	-0.511	-17.629	0.089	0.393	0.046	7704.000
18.090	-0.172	-18.994	0.086	0.354	0.035	7737.000
11.394	-1.596	-14.545	0.077	0.429	0.024	7910.000
18.384	-0.780	-14.894	0.089	0.387	0.048	7978.000
11.314	-1.144	-17.750	0.086	0.402	0.026	7978.000
12.697	-0.872	-15.796	0.083	0.411	0.021	8000.000
9.656	-0.701	-19.081	0.092	0.399	0.029	7986.000
4.521	-0.338	-24.425	0.092	0.382	0.003	7986.000
1.037	-0.249	-28.422	0.095	0.294	-0.012	7986.000
-9.822	-0.683	-29.773	0.067	0.246	-0.020	7739.000
-9.822	0.589	-30.190	0.090	0.123	-0.023	7664.000
-5.803	-0.624	-27.689	0.088	0.179	-0.024	7393.000
-8.047	0.223	-27.359	0.102	0.119	-0.031	7221.000
-10.020	0.069	-28.087	0.084	0.101	-0.042	7221.000
-8.652	-0.634	-25.209	0.094	0.066	-0.039	7221.000
-9.660	-0.551	-26.353	0.085	0.117	-0.029	6380.000
-6.847	0.317	-25.704	0.088	0.061	-0.018	5969.000
-4.979	-0.534	-21.304	0.087	0.083	-0.032	5897.000
-5.019	-0.587	-22.030	0.076	0.074	0.007	5192.000
-5.125	-0.931	-19.995	0.071	0.063	-0.031	4776.000
-5.329	-0.179	-20.564	0.072	0.057	0.012	4634.000
-5.170	-0.743	-22.885	0.071	0.098	-0.046	4634.000
-7.222	-0.178	-19.558	0.074	0.022	0.040	4634.000
-4.025	-0.599	-15.806	0.055	-0.021	-0.059	3022.000
-4.264	0.167	-15.511	0.059	-0.036	-0.007	3022.000
-5.038	0.191	-17.150	0.063	0.005	-0.019	3022.000
-5.299	-0.311	-19.526	0.065	-0.014	-0.013	1751.000
-1.698	-0.692	-19.462	0.074	0.029	-0.022	1751.000
-0.300	-0.930	-15.039	0.070	0.029	0.002	1181.000
-3.349	0.042	-17.904	0.068	0.010	-0.024	943.000
-4.219	-0.147	-19.201	0.063	-0.036	-0.030	943.000
-4.098	-0.438	-16.750	0.068	-0.007	-0.008	487.000
-2.727	-0.316	-15.599	0.053	-0.040	-0.022	349.000
-1.103	0.534	-16.652	0.054	-0.040	-0.002	349.000
-4.140	0.413	-18.400	0.061	-0.024	-0.022	349.000
-2.627	-0.533	-16.219	0.050	-0.028	-0.004	38.000
-1.429	0.691	-16.430	0.046	0.033	-0.021	38.000
-2.857	-0.278	-18.822	0.061	0.028	-0.013	0.000
-0.664	0.350	-17.139	0.053	0.040	-0.007	12.000
2.067	-0.007	-16.919	0.064	0.027	0.009	12.000
-1.834	-0.460	-16.938	0.058	0.075	-0.013	12.000
5.153	-0.352	-19.816	0.050	0.096	0.023	12.000
3.245	-1.388	-18.765	0.051	0.204	0.021	353.000
8.884	0.695	-20.781	0.061	0.223	0.013	390.000
6.854	-0.180	-22.092	0.063	0.292	0.015	745.000
13.349	0.290	-21.462	0.067	0.357	0.057	996.000
12.602	0.080	-21.350	0.069	0.364	0.023	996.000
14.462	-0.214	-21.253	0.069	0.354	0.053	996.000
13.847	-0.070	-20.309	0.071	0.365	0.046	996.000
13.362	-0.294	-20.593	0.069	0.367	0.023	2150.000
15.310	-0.183	-18.890	0.068	0.370	0.041	2150.000
16.441	-0.601	-18.564	0.069	0.366	0.055	2949.000
15.430	-0.880	-17.159	0.067	0.385	0.030	3406.000
16.257	-0.785	-15.080	0.073	0.398	0.029	3406.000
15.865	-1.104	-17.416	0.075	0.379	0.075	3406.000
15.400	-0.568	-15.693	0.074	0.398	0.017	4930.000
15.712	-0.495	-14.518	0.079	0.405	0.043	5090.000
14.664	-0.665	-15.250	0.084	0.404	0.054	5776.000
18.399	-0.922	-11.593	0.072	0.416	0.039	5918.000
17.957	-0.453	-11.394	0.060	0.419	0.035	5918.000
17.613	-0.782	-11.096	0.061	0.423	0.047	6714.000
17.615	-0.932	-11.191	0.072	0.424	0.029	6787.000
15.102	-0.968	-13.201	0.087	0.419	0.050	6787.000
15.590	-0.847	-15.147	0.090	0.401	0.034	7442.000
11.684	-1.015	-16.694	0.093	0.409	0.031	7620.000
14.107	-0.884	-18.553	0.079	0.380	0.024	7662.000
14.581	0.201	-17.142	0.090	0.388	0.043	7662.000
10.732	-0.853	-14.630	0.081	0.432	0.005	7662.000
16.119	-0.852	-14.857	0.088	0.400	0.035	7975.000
11.509	-0.804	-16.921	0.092	0.408	0.023	8000.000
12.928	-0.829	-14.669	0.086	0.419	0.040	8000.000
