Sampling fequency [Hz]:	100	x-velocity [mm/s]: 	100	Track length [mm]:	10	Cycles:	9000
Fx	Fy	Fz	Tx	Ty	Tz	x-Position
4.117	-0.712	-23.862	0.155	0.269	0.006	5202.000
4.957	-0.081	-24.500	0.148	0.329	0.056	5711.000
2.423	-0.688	-24.646	0.145	0.283	-0.014	5973.000
1.307	-0.285	-22.018	0.138	0.262	0.036	6407.000
1.647	-0.099	-22.270	0.134	0.272	-0.010	6674.000
0.859	0.415	-22.555	0.139	0.278	0.073	7030.000
2.698	0.222	-22.142	0.133	0.286	-0.010	7030.000
2.368	-0.131	-22.733	0.135	0.334	0.020	7030.000
3.322	-0.141	-22.398	0.138	0.332	0.006	7542.000
2.205	-0.320	-20.473	0.128	0.327	0.040	7739.000
4.128	-1.105	-20.888	0.122	0.343	0.011	7874.000
5.544	-0.517	-17.975	0.122	0.236	0.034	7874.000
3.316	-0.081	-20.023	0.126	0.311	0.003	7983.000
0.929	-0.542	-17.819	0.116	0.300	0.028	8000.000
3.143	0.075	-18.403	0.115	0.289	0.003	8000.000
2.237	-0.292	-18.774	0.120	0.302	0.020	8000.000
0.107	-0.223	-20.287	0.117	0.253	-0.001	7997.000
-1.794	-0.129	-17.993	0.112	0.243	-0.022	7948.000
0.667	-0.505	-21.684	0.134	0.207	-0.000	7895.000
2.643	0.806	-18.176	0.127	0.188	-0.018	7834.000
0.161	-0.105	-20.576	0.122	0.256	-0.022	7609.000
-1.145	-1.180	-19.401	0.121	0.236	-0.027	7465.000
0.105	0.262	-20.750	0.128	0.180	-0.011	7244.000
-2.646	-0.868	-19.691	0.120	0.195	-0.018	7033.000
-2.411	0.157	-18.592	0.118	0.137	-0.051	6946.000
-3.188	-0.499	-18.471	0.115	0.134	0.008	6946.000
-2.920	-0.322	-17.699	0.107	0.093	-0.041	6187.000
-2.528	-0.200	-17.039	0.108	0.118	-0.008	6187.000
-1.910	-0.683	-16.616	0.106	0.119	-0.012	6187.000
-1.815	-0.214	-16.007	0.112	0.066	-0.015	5178.000
-4.388	0.505	-16.804	0.101	0.059	-0.040	4647.000
-0.685	-0.104	-16.274	0.102	0.069	-0.013	4179.000
-0.653	-0.546	-15.971	0.102	0.094	-0.061	3646.000
-2.215	-0.644	-15.673	0.102	0.028	0.035	3646.000
-2.183	0.518	-17.029	0.096	0.045	-0.008	2635.000
-0.626	-1.231	-15.298	0.098	0.072	-0.074	2363.000
-1.470	-0.103	-16.790	0.106	0.045	0.072	2009.000
0.803	-0.897	-15.662	0.095	0.083	-0.093	1545.000
-0.673	-0.415	-17.904	0.117	0.048	0.029	1390.000
-1.982	-0.077	-18.211	0.119	0.008	-0.024	949.000
-1.415	-0.777	-18.621	0.123	0.012	-0.024	890.000
-3.945	-0.539	-18.344	0.118	0.011	-0.012	890.000
-1.824	-0.013	-17.367	0.115	-0.025	-0.015	380.000
-3.964	0.324	-18.293	0.126	0.005	-0.028	261.000
-9.684	-1.107	-20.925	0.126	0.040	-0.022	156.000
-0.300	0.700	-20.327	0.130	-0.005	-0.030	156.000
-3.786	-0.480	-20.145	0.122	0.029	-0.011	25.000
-1.796	0.086	-20.571	0.129	0.022	-0.018	0.000
-2.404	-0.091	-20.203	0.131	0.002	-0.006	1.000
3.007	0.342	-19.423	0.118	0.096	0.009	55.000
2.883	-1.054	-20.150	0.146	0.224	0.002	147.000
11.099	0.219	-21.239	0.124	0.143	0.003	194.000
2.859	-0.851	-20.087	0.131	0.192	0.035	375.000
5.410	0.057	-19.532	0.134	0.146	0.015	563.000
2.201	-0.695	-20.778	0.126	0.186	-0.004	764.000
4.776	-0.082	-20.047	0.133	0.147	0.033	902.000
3.010	-0.655	-21.874	0.130	0.178	-0.003	1312.000
4.619	-0.191	-21.942	0.136	0.175	0.035	1529.000
3.062	-0.048	-22.106	0.142	0.220	0.009	1872.000
4.215	0.067	-22.347	0.138	0.201	0.042	2226.000
3.345	-0.527	-21.926	0.134	0.212	-0.040	2715.000
3.528	-0.444	-22.902	0.136	0.229	0.050	3044.000
2.874	-0.531	-21.662	0.136	0.208	-0.038	3633.000
3.539	0.229	-22.091	0.133	0.263	0.109	3903.000
2.902	-0.381	-21.850	0.156	0.279	-0.065	4389.000
2.700	0.309	-22.447	0.134	0.248	0.113	5044.000
2.961	-0.140	-23.527	0.138	0.276	-0.075	5381.000
3.626	-0.525	-22.927	0.144	0.298	0.051	5719.000
6.383	-0.606	-22.487	0.130	0.354	0.007	5987.000
5.735	-0.456	-22.959	0.137	0.359	0.005	5987.000
5.161	-0.212	-22.730	0.141	0.359	0.020	6723.000
4.433	-0.229	-20.995	0.138	0.319	0.050	7061.000
2.296	-0.657	-20.725	0.134	0.320	-0.021	7267.000
4.286	-0.381	-19.392	0.130	0.266	0.022	7475.000
1.266	-0.061	-20.024	0.126	0.286	0.007	7622.000
2.645	0.176	-18.397	0.118	0.281	0.023	7734.000
8.372	1.588	-17.383	0.125	0.213	0.019	7882.000
0.030	-0.984	-21.295	0.123	0.370	0.006	7945.000
5.873	-0.118	-19.123	0.121	0.348	0.024	7989.000
3.657	-0.223	-21.755	0.131	0.340	0.016	8000.000
1.944	-0.157	-21.523	0.124	0.332	-0.010	7992.000
1.252	-0.751	-20.086	0.133	0.250	-0.006	7925.000
2.192	-0.220	-18.004	0.123	0.162	-0.012	7852.000
-5.085	-1.527	-20.486	0.111	0.248	-0.040	7735.000
