Sampling fequency [Hz]:	100	x-velocity [mm/s]: 	100	Track length [mm]:	10	Cycles:	9000
Fx	Fy	Fz	Tx	Ty	Tz	x-Position
-2.637	-0.354	-23.759	0.449	0.013	-0.024	7992.000
-0.786	-0.090	-22.771	0.429	0.007	-0.007	7933.000
-0.710	-0.231	-22.804	0.408	-0.007	-0.026	7835.000
-5.261	-1.488	-21.619	0.394	0.054	-0.048	7835.000
-0.428	1.170	-20.715	0.396	-0.022	-0.020	7835.000
-3.737	-0.696	-21.665	0.384	-0.025	-0.020	7835.000
-3.083	-0.358	-20.012	0.373	-0.025	-0.052	7835.000
-1.514	-0.462	-19.783	0.365	-0.037	-0.009	7835.000
-1.369	-0.275	-19.496	0.359	-0.032	-0.023	7835.000
-1.671	-0.444	-18.995	0.354	-0.053	-0.031	7835.000
-1.407	0.071	-18.264	0.352	-0.055	-0.023	7835.000
-2.053	-0.446	-18.034	0.341	-0.070	-0.024	7835.000
-1.421	0.118	-17.248	0.331	-0.062	-0.044	7835.000
-2.327	-0.039	-17.154	0.326	-0.077	-0.040	7835.000
-1.407	-0.076	-16.392	0.318	-0.079	-0.015	7835.000
0.293	-0.487	-16.746	0.299	-0.055	-0.026	7835.000
-2.286	-0.087	-15.845	0.303	-0.110	-0.029	7835.000
0.168	-0.317	-15.505	0.299	-0.062	-0.016	7835.000
-1.886	0.056	-15.242	0.305	-0.125	-0.017	7835.000
-0.557	0.001	-14.463	0.301	-0.105	-0.039	7835.000
-2.409	0.215	-14.478	0.302	-0.148	-0.013	7835.000
-2.097	-0.765	-14.010	0.293	-0.131	0.001	7835.000
-2.396	-0.660	-14.289	0.287	-0.151	-0.036	7835.000
-1.609	-0.399	-13.721	0.285	-0.139	-0.009	7835.000
-1.902	-0.992	-14.001	0.273	-0.134	-0.018	7835.000
-0.422	-0.225	-13.272	0.271	-0.147	-0.024	7835.000
-0.485	-0.082	-13.857	0.266	-0.147	-0.021	7835.000
-1.573	0.152	-13.732	0.261	-0.127	-0.028	7835.000
-0.508	-2.866	-15.956	0.251	-0.078	-0.015	7835.000
-2.342	0.308	-12.812	0.271	-0.174	0.008	53.000
0.314	0.238	-13.748	0.259	-0.150	-0.025	9.000
-1.325	0.658	-15.225	0.272	-0.128	-0.008	0.000
2.598	1.023	-17.628	0.285	-0.036	0.014	2.000
2.500	0.713	-17.981	0.296	0.008	0.030	2.000
1.032	0.255	-18.518	0.300	0.007	0.041	2.000
4.085	-1.258	-14.890	0.315	-0.015	-0.005	2.000
0.098	0.820	-20.337	0.324	-0.086	0.044	2.000
1.827	1.224	-17.914	0.343	-0.027	0.012	2.000
2.426	0.403	-20.260	0.344	-0.060	0.046	2.000
2.109	0.124	-19.786	0.353	-0.007	0.035	2.000
2.098	0.111	-19.466	0.365	-0.005	0.033	2.000
2.472	0.080	-19.870	0.378	-0.004	0.040	2.000
2.231	0.000	-21.124	0.388	0.007	0.027	2.000
2.896	-0.223	-21.367	0.400	0.019	0.041	2.000
2.707	-0.117	-22.759	0.405	0.020	0.051	2453.000
2.635	0.321	-22.414	0.417	0.086	0.044	2453.000
2.594	0.093	-23.577	0.423	0.030	0.048	2453.000
1.609	-0.004	-24.621	0.432	0.063	0.045	2453.000
3.447	0.777	-24.568	0.445	0.076	0.040	2453.000
1.763	0.422	-25.918	0.457	0.056	0.090	2453.000
3.010	0.221	-25.859	0.453	0.133	0.029	2453.000
2.371	0.201	-26.793	0.465	0.130	0.055	5772.000
3.767	0.369	-28.303	0.479	0.193	0.042	6123.000
3.673	0.694	-28.691	0.486	0.192	0.049	6123.000
3.825	0.476	-28.765	0.493	0.221	0.053	6123.000
3.984	0.260	-29.434	0.500	0.206	0.042	7074.000
4.045	0.689	-30.709	0.519	0.218	0.054	7234.000
2.846	0.585	-30.170	0.521	0.238	0.035	7234.000
3.465	0.461	-30.791	0.523	0.196	0.054	7633.000
4.088	1.148	-30.788	0.528	0.223	0.038	7749.000
7.011	0.271	-31.280	0.518	0.174	0.083	7821.000
2.085	0.096	-31.100	0.524	0.258	0.038	7821.000
4.438	0.644	-30.979	0.524	0.164	0.041	7993.000
1.282	0.431	-31.441	0.525	0.188	0.040	8000.000
1.166	0.482	-30.600	0.525	0.141	0.001	7998.000
-5.084	0.418	-30.346	0.526	-0.057	-0.040	7998.000
-4.375	0.536	-29.875	0.517	-0.047	-0.063	7998.000
-3.277	0.186	-29.019	0.506	-0.026	-0.051	7792.000
-4.934	-0.279	-26.756	0.493	-0.034	-0.015	7626.000
-1.978	0.218	-26.084	0.481	-0.074	-0.046	7540.000
-2.999	-0.425	-22.903	0.436	-0.049	-0.035	7384.000
-2.773	-0.464	-21.580	0.404	-0.035	-0.011	7068.000
-1.915	-0.307	-19.400	0.366	-0.015	-0.033	6831.000
-1.136	-0.757	-19.354	0.352	-0.028	-0.016	6831.000
-1.651	-0.072	-18.163	0.351	-0.025	-0.031	6831.000
-1.120	-0.319	-18.074	0.339	-0.037	-0.022	5802.000
-1.295	-0.034	-17.338	0.326	-0.062	-0.021	5495.000
-1.015	-0.085	-16.617	0.317	-0.041	-0.019	5033.000
-2.089	-0.265	-16.684	0.310	-0.064	-0.003	4548.000
-2.082	0.031	-15.714	0.308	-0.072	-0.041	4385.000
0.182	-0.356	-15.457	0.293	-0.062	-0.023	4385.000
-2.111	-0.131	-15.559	0.300	-0.124	-0.022	4385.000
0.178	0.028	-14.520	0.295	-0.065	-0.036	2691.000
-1.282	0.257	-15.131	0.310	-0.125	-0.013	2360.000
0.076	-0.287	-14.657	0.295	-0.109	-0.029	2360.000
-1.494	0.287	-14.774	0.295	-0.129	-0.015	2360.000
-1.476	-0.566	-14.612	0.285	-0.129	-0.002	1400.000
-1.869	0.017	-16.306	0.312	-0.163	-0.038	1105.000
-1.751	-0.118	-17.784	0.339	-0.185	-0.023	1105.000
-2.878	-0.586	-18.982	0.337	-0.178	-0.018	629.000
-1.305	0.332	-19.233	0.351	-0.194	-0.035	394.000
-0.679	0.491	-20.266	0.365	-0.209	-0.031	285.000
1.640	2.827	-21.065	0.382	-0.286	-0.023	145.000
-5.353	0.004	-23.978	0.383	-0.209	-0.042	79.000
0.753	2.528	-20.541	0.383	-0.233	-0.015	79.000
-1.362	0.868	-22.073	0.376	-0.179	-0.036	79.000
-1.264	0.611	-22.014	0.375	-0.189	-0.023	79.000
-0.833	0.740	-22.001	0.378	-0.184	-0.015	79.000
-1.186	0.697	-21.472	0.374	-0.188	-0.030	79.000
-1.169	0.676	-22.135	0.377	-0.184	-0.016	79.000
-1.034	0.823	-21.550	0.376	-0.189	-0.021	79.000
-1.084	0.736	-21.914	0.376	-0.183	-0.024	79.000
-1.060	0.724	-21.709	0.376	-0.188	-0.020	79.000
-1.119	0.676	-21.823	0.376	-0.183	-0.023	79.000
-1.093	0.721	-21.725	0.376	-0.187	-0.019	79.000
-1.143	0.736	-21.820	0.376	-0.184	-0.021	79.000
-1.082	0.706	-21.667	0.375	-0.185	-0.020	79.000
-1.131	0.699	-21.804	0.375	-0.184	-0.022	79.000
-1.108	0.696	-21.656	0.375	-0.185	-0.020	79.000
-1.112	0.697	-21.809	0.376	-0.185	-0.021	79.000
-1.105	0.723	-21.742	0.375	-0.185	-0.021	79.000
-1.113	0.704	-21.696	0.377	-0.184	-0.021	79.000
-1.107	0.705	-21.762	0.375	-0.185	-0.021	79.000
-1.107	0.717	-21.750	0.376	-0.185	-0.021	79.000
-1.109	0.698	-21.767	0.375	-0.185	-0.021	79.000
-1.096	0.708	-21.764	0.376	-0.185	-0.021	79.000
-1.121	0.752	-21.791	0.377	-0.186	-0.020	79.000
-1.101	0.700	-21.764	0.375	-0.185	-0.021	79.000
-1.098	0.692	-21.677	0.375	-0.185	-0.021	79.000
-1.098	0.755	-21.747	0.376	-0.185	-0.020	79.000
-1.099	0.696	-21.763	0.376	-0.184	-0.020	79.000
-1.105	0.691	-21.736	0.375	-0.185	-0.021	79.000
-1.098	0.690	-21.712	0.376	-0.185	-0.021	79.000
-1.101	0.693	-21.704	0.376	-0.185	-0.021	79.000
-1.102	0.688	-21.688	0.375	-0.186	-0.021	79.000
-1.117	0.644	-21.755	0.375	-0.184	-0.021	79.000
-1.110	0.758	-21.744	0.376	-0.185	-0.020	79.000
-1.105	0.699	-21.568	0.375	-0.188	-0.021	79.000
-1.102	0.691	-21.690	0.375	-0.185	-0.021	79.000
-1.109	0.694	-21.699	0.375	-0.186	-0.021	79.000
-1.107	0.698	-21.631	0.376	-0.184	-0.021	79.000
-1.104	0.712	-21.733	0.375	-0.185	-0.020	79.000
-1.106	0.691	-21.839	0.376	-0.185	-0.021	79.000
-0.873	1.016	-22.989	0.382	-0.191	-0.023	0.000
3.676	1.401	-23.989	0.383	-0.038	0.038	23.000
4.718	1.495	-24.392	0.391	-0.044	0.042	90.000
1.551	0.321	-27.476	0.400	-0.034	0.060	156.000
5.339	2.833	-24.179	0.428	-0.021	-0.010	202.000
3.062	0.462	-27.269	0.416	-0.069	0.070	442.000
2.942	1.520	-24.613	0.444	-0.033	0.027	649.000
3.301	0.432	-26.239	0.438	-0.068	0.055	805.000
2.612	0.582	-25.219	0.445	-0.025	0.026	805.000
2.979	0.413	-26.497	0.456	-0.008	0.044	1391.000
2.937	0.238	-26.279	0.473	0.013	0.052	1569.000
3.491	0.333	-26.925	0.477	0.017	0.040	2064.000
3.792	0.574	-27.387	0.487	0.049	0.024	2394.000
3.928	0.011	-27.846	0.476	0.042	0.034	2865.000
2.497	-0.283	-26.879	0.481	0.056	0.064	3231.000
4.628	0.947	-27.690	0.495	0.108	0.036	3748.000
3.522	0.145	-28.955	0.493	0.123	0.040	4175.000
2.801	-0.098	-28.424	0.494	0.106	0.031	4695.000
4.958	0.702	-28.336	0.486	0.153	0.046	5131.000
2.549	0.153	-28.766	0.496	0.134	0.028	5488.000
3.327	0.780	-29.284	0.499	0.172	0.052	5935.000
1.783	0.238	-29.952	0.503	0.126	0.051	6125.000
2.007	0.292	-28.536	0.495	0.115	0.045	6610.000
1.270	0.659	-28.342	0.494	0.141	0.036	6687.000
1.816	-0.187	-28.418	0.487	0.144	0.040	7170.000
2.506	0.295	-28.130	0.482	0.167	0.049	7309.000
1.831	-0.015	-26.489	0.467	0.194	0.021	7476.000
1.911	-0.450	-25.440	0.457	0.174	0.034	7663.000
-0.006	-0.522	-25.523	0.456	0.185	0.032	7820.000
5.084	0.945	-26.673	0.455	0.122	0.080	7820.000
-0.789	-1.700	-25.830	0.455	0.204	0.017	7974.000
3.304	-0.051	-23.120	0.436	0.164	0.018	8000.000
0.979	-0.562	-23.158	0.439	0.158	0.039	8000.000
-3.620	-0.223	-25.334	0.456	-0.037	-0.045	7991.000
-4.018	0.067	-24.046	0.443	-0.082	-0.062	7935.000
-2.370	-0.597	-23.328	0.438	-0.081	-0.037	7837.000
-6.384	-0.852	-23.264	0.428	-0.015	-0.033	7747.000
-3.383	0.428	-22.826	0.431	-0.065	-0.043	7562.000
-3.298	-0.317	-23.691	0.432	-0.032	-0.030	7412.000
-3.530	-0.274	-24.072	0.431	-0.003	-0.025	7158.000
-1.758	0.030	-23.478	0.423	-0.041	-0.039	6976.000
-2.062	0.250	-22.601	0.415	-0.020	-0.039	6678.000
-1.161	-0.330	-23.728	0.412	-0.029	-0.024	6322.000
-2.073	0.373	-24.419	0.430	-0.067	-0.035	5924.000
-2.478	-0.451	-22.396	0.408	-0.052	-0.030	5691.000
-1.861	-0.192	-21.238	0.393	-0.074	-0.016	5223.000
-1.230	-0.176	-20.344	0.382	-0.095	-0.026	4879.000
-3.208	-0.872	-19.638	0.368	-0.098	-0.034	4296.000
-1.216	0.090	-18.871	0.356	-0.091	-0.033	3749.000
-2.156	0.108	-18.951	0.350	-0.129	-0.023	3314.000
-2.016	-0.266	-18.933	0.368	-0.152	-0.035	3116.000
-1.414	-0.884	-18.537	0.348	-0.110	-0.017	2547.000
-1.534	-0.431	-18.334	0.367	-0.142	-0.028	2028.000
-1.005	-0.265	-21.028	0.384	-0.152	-0.024	1727.000
-2.045	0.523	-20.993	0.395	-0.171	-0.042	1538.000
-2.100	-0.313	-19.890	0.389	-0.195	-0.034	1362.000
-2.407	-0.219	-19.862	0.382	-0.186	-0.020	1362.000
-3.262	0.157	-22.391	0.392	-0.222	-0.039	663.000
-0.752	1.066	-22.483	0.407	-0.252	-0.037	491.000
-2.114	1.254	-24.361	0.423	-0.245	-0.045	350.000
0.054	1.494	-23.396	0.423	-0.293	-0.018	350.000
-7.928	-0.725	-26.043	0.422	-0.185	-0.080	103.000
0.477	1.123	-23.196	0.426	-0.252	-0.014	24.000
-1.050	1.972	-28.342	0.440	-0.236	-0.054	6.000
-2.600	1.072	-25.709	0.433	-0.225	-0.031	2.000
4.753	1.672	-27.724	0.434	-0.056	0.039	29.000
5.024	0.773	-28.078	0.428	-0.041	0.058	104.000
2.864	1.337	-25.817	0.439	0.017	0.004	173.000
2.873	-0.471	-28.028	0.432	-0.032	0.074	202.000
2.567	1.584	-25.825	0.440	-0.034	0.023	461.000
2.399	0.792	-25.730	0.435	-0.087	0.052	665.000
1.524	0.421	-26.357	0.446	-0.042	0.037	846.000
3.013	0.932	-26.320	0.455	-0.016	0.039	1138.000
