Sampling fequency [Hz]:	100	x-velocity [mm/s]: 	100	Track length [mm]:	10	Cycles:	9000
Fx	Fy	Fz	Tx	Ty	Tz	x-Position
3.388	5.935	-31.816	0.077	-0.101	0.080	6689.000
10.273	5.110	-32.127	0.036	0.028	-0.017	5831.000
5.177	3.997	-27.552	0.068	0.043	-0.052	5355.000
5.182	6.779	-34.985	0.036	0.011	0.021	4876.000
8.233	4.935	-27.247	0.022	0.069	-0.020	4737.000
7.188	0.388	-15.865	0.039	0.044	-0.048	4737.000
5.184	2.181	-20.063	0.027	-0.079	0.013	3421.000
-2.810	2.960	-4.743	0.016	-0.051	-0.093	2998.000
-4.250	1.969	-7.777	-0.018	-0.137	-0.042	2547.000
-1.776	2.765	-13.197	0.020	-0.259	-0.026	2187.000
-2.516	2.189	-7.728	0.017	-0.202	-0.075	1852.000
-6.275	3.702	-7.822	-0.007	-0.182	-0.028	1768.000
-5.805	2.269	-10.031	0.011	-0.170	-0.010	1768.000
-0.245	0.999	-12.452	-0.002	-0.230	-0.053	1060.000
1.853	1.756	-10.418	0.025	-0.224	0.010	742.000
-0.376	4.501	-14.795	0.030	-0.353	0.060	686.000
-0.806	2.665	-13.992	0.030	-0.277	0.051	392.000
-1.773	3.987	-17.842	0.026	-0.338	0.036	243.000
-4.775	2.376	-11.487	0.017	-0.219	0.029	243.000
-7.116	1.002	-19.065	0.011	-0.280	-0.117	54.000
-6.926	4.172	-13.582	0.026	-0.397	-0.067	11.000
-7.926	4.088	-13.641	0.049	-0.400	-0.054	4.000
-8.214	2.355	-15.410	0.036	-0.381	-0.111	4.000
-7.339	3.987	-14.209	0.036	-0.397	-0.060	0.000
-4.312	3.507	-17.026	0.044	-0.354	-0.085	18.000
-2.513	2.028	-18.132	0.075	-0.292	-0.041	63.000
7.146	3.982	-21.853	0.059	-0.186	0.004	63.000
8.245	3.036	-21.180	0.064	0.050	-0.021	63.000
13.189	2.820	-19.018	0.085	-0.073	0.037	389.000
13.442	2.719	-20.980	0.089	0.033	0.062	599.000
11.393	1.090	-20.879	0.079	0.037	0.031	807.000
12.125	1.234	-19.115	0.074	0.012	0.047	1031.000
10.732	2.138	-19.156	0.086	0.005	0.060	1317.000
9.954	2.045	-18.630	0.079	-0.008	0.017	1397.000
11.764	1.892	-19.765	0.079	0.016	0.032	1397.000
11.484	1.943	-19.938	0.091	0.023	0.067	2328.000
12.585	1.191	-22.262	0.102	0.062	-0.002	2557.000
13.074	1.881	-21.097	0.086	0.101	0.101	3131.000
14.400	2.677	-20.607	0.082	0.153	0.041	3397.000
12.905	1.461	-21.594	0.092	0.158	0.022	3397.000
15.583	2.138	-21.964	0.110	0.193	0.112	4375.000
13.805	1.023	-21.854	0.099	0.183	-0.010	4833.000
15.062	2.407	-22.196	0.094	0.194	0.041	5461.000
13.941	2.158	-22.425	0.094	0.163	0.053	5461.000
14.735	1.402	-23.456	0.100	0.160	0.094	5461.000
12.820	0.718	-22.993	0.101	0.131	0.035	6560.000
10.734	1.444	-20.576	0.089	0.133	0.021	6715.000
11.782	1.983	-20.960	0.104	0.194	0.051	6715.000
12.337	1.786	-21.321	0.100	0.208	0.054	7231.000
14.060	1.912	-22.751	0.099	0.221	0.058	7505.000
13.499	2.262	-21.859	0.086	0.257	0.038	7660.000
12.965	3.014	-23.525	0.088	0.219	0.028	7754.000
20.482	3.887	-20.665	0.081	0.110	0.066	7865.000
13.506	0.445	-23.293	0.065	0.280	0.097	7865.000
13.780	2.177	-19.949	0.057	0.228	0.003	7996.000
10.904	1.617	-19.331	0.073	0.167	0.055	8000.000
8.225	1.452	-19.061	0.079	0.108	0.020	7986.000
3.578	1.403	-18.992	0.073	0.003	-0.021	7933.000
3.709	0.351	-16.475	0.078	-0.075	-0.006	7849.000
-9.980	-2.162	-19.021	0.047	-0.112	-0.082	7747.000
-0.689	2.247	-20.489	0.044	-0.177	-0.141	7665.000
-12.037	2.703	-21.555	0.062	-0.241	0.054	7508.000
1.349	4.508	-10.104	0.051	-0.024	-0.049	7230.000
-0.668	-0.514	-17.550	-0.012	-0.095	-0.167	7033.000
5.314	-0.687	-15.260	0.001	-0.042	-0.086	6816.000
4.449	-0.046	-22.706	0.004	0.035	0.017	6816.000
10.145	0.374	-26.987	0.004	0.095	-0.053	6233.000
12.530	0.351	-21.594	-0.037	0.117	-0.128	5617.000
1.293	2.887	-11.234	-0.011	0.000	-0.098	5281.000
-0.972	1.608	-11.292	0.053	-0.201	-0.109	4995.000
-10.152	4.176	1.672	0.027	-0.198	-0.031	4995.000
-4.409	3.706	-12.938	0.031	-0.240	-0.008	4033.000
-7.825	3.496	-11.905	0.042	-0.320	-0.024	3491.000
-6.478	4.488	-7.866	-0.017	-0.202	-0.112	3031.000
-0.030	2.555	-15.149	0.018	-0.212	-0.049	3031.000
8.730	2.835	-13.429	0.008	-0.089	-0.047	2151.000
-0.872	2.829	-11.884	-0.006	-0.170	-0.044	1925.000
-3.381	3.000	-11.026	0.023	-0.142	-0.059	1669.000
-9.275	2.380	-10.880	0.016	-0.318	-0.037	1158.000
-5.758	3.981	-13.405	0.045	-0.380	0.119	885.000
-3.093	2.915	-7.999	0.061	-0.334	-0.066	680.000
-7.309	0.815	-13.496	0.017	-0.385	-0.113	573.000
-1.282	0.402	-17.142	0.047	-0.337	0.000	438.000
-4.122	2.464	-11.993	0.036	-0.311	-0.070	207.000
-9.200	-0.165	-26.613	0.034	-0.349	-0.086	118.000
-7.624	4.965	-16.493	0.042	-0.452	-0.090	50.000
-5.921	4.033	-19.543	0.039	-0.389	-0.130	50.000
-8.061	3.328	-24.134	0.041	-0.407	-0.099	0.000
-6.731	4.138	-22.077	0.031	-0.415	-0.108	5.000
-3.388	3.707	-21.745	0.050	-0.372	-0.086	16.000
-2.020	1.087	-22.688	0.133	-0.275	-0.046	93.000
1.822	0.959	-24.026	0.084	-0.076	-0.002	181.000
14.324	2.682	-23.289	0.072	-0.102	0.030	181.000
11.238	0.269	-24.232	0.101	-0.004	0.065	181.000
15.176	2.300	-24.267	0.107	0.057	0.063	719.000
15.300	2.438	-24.043	0.100	0.049	0.039	952.000
12.695	1.353	-22.060	0.095	0.010	0.064	1208.000
13.463	1.894	-21.542	0.093	0.051	0.062	1208.000
14.364	1.722	-23.215	0.085	0.051	0.034	1729.000
13.610	1.918	-20.596	0.087	0.070	0.059	2110.000
14.706	1.069	-23.430	0.095	0.098	0.034	2530.000
12.607	1.070	-22.598	0.100	0.078	0.042	2667.000
14.761	2.015	-21.087	0.085	0.160	0.090	3406.000
14.121	1.249	-22.156	0.085	0.102	0.067	3874.000
16.339	0.571	-22.928	0.092	0.132	0.042	4408.000
14.475	1.908	-22.766	0.103	0.124	0.076	4850.000
16.391	0.563	-25.071	0.103	0.214	0.049	5052.000
13.963	1.479	-22.123	0.081	0.193	0.060	5052.000
15.468	1.988	-23.526	0.105	0.203	0.007	5994.000
14.666	2.114	-24.581	0.109	0.190	0.068	6321.000
13.175	1.705	-23.542	0.118	0.183	0.125	6549.000
14.356	1.429	-23.755	0.107	0.204	0.008	6935.000
14.890	1.495	-24.503	0.109	0.220	0.079	6935.000
14.374	1.969	-24.220	0.123	0.175	0.079	6935.000
15.277	1.216	-25.897	0.095	0.231	0.036	7597.000
13.033	1.355	-22.917	0.090	0.201	0.091	7728.000
13.719	0.464	-18.461	0.079	0.244	0.025	7841.000
14.260	0.952	-24.107	0.058	0.200	0.054	7918.000
13.723	2.374	-20.189	0.067	0.282	0.022	7976.000
11.502	1.600	-21.174	0.059	0.167	0.050	8000.000
11.201	2.081	-16.982	0.061	0.163	0.037	8000.000
10.900	1.265	-18.813	0.056	0.182	0.028	8000.000
10.540	1.948	-19.405	0.061	0.165	0.006	7996.000
4.100	0.974	-16.380	0.070	0.087	-0.017	7917.000
0.435	-0.831	-15.922	0.099	-0.150	-0.031	7827.000
-10.746	0.667	-20.496	0.031	-0.219	-0.073	7789.000
-7.286	3.054	-12.523	-0.002	-0.276	-0.123	7789.000
-5.640	2.221	-14.446	0.056	-0.157	-0.125	7392.000
-9.041	5.668	-25.616	0.060	-0.318	0.051	7237.000
-6.271	2.300	-22.939	0.034	-0.238	-0.228	6953.000
-8.136	3.176	-13.212	-0.008	-0.351	-0.135	6953.000
-7.445	2.301	-9.938	0.043	-0.420	0.065	6953.000
-12.346	2.438	-14.561	0.070	-0.501	0.011	5956.000
-10.139	3.021	-15.332	0.070	-0.514	-0.117	5653.000
-8.771	6.709	-17.129	0.010	-0.312	-0.187	5219.000
-0.645	2.900	-26.908	0.010	-0.146	-0.141	4827.000
2.247	2.166	-19.653	0.027	-0.052	-0.071	4283.000
4.963	2.323	-21.966	-0.008	0.080	0.015	4283.000
5.862	3.142	-26.853	0.033	0.093	-0.097	4283.000
8.021	0.460	-16.674	0.019	-0.023	-0.049	2873.000
-0.332	2.090	-10.858	-0.013	-0.055	-0.092	2555.000
1.448	0.780	-12.808	-0.001	-0.181	-0.091	2118.000
0.733	2.110	-8.103	0.009	-0.195	-0.039	1763.000
-2.182	3.264	-5.127	0.024	-0.189	-0.067	1470.000
0.204	0.081	-2.501	0.009	-0.133	-0.126	1167.000
0.562	0.220	-6.699	-0.042	-0.078	-0.158	876.000
-1.589	2.165	-14.809	0.021	-0.171	-0.091	818.000
-7.159	2.098	-19.968	0.028	-0.273	0.020	482.000
-7.352	3.585	-8.554	0.036	-0.247	-0.012	482.000
-7.854	3.507	-16.340	0.057	-0.351	-0.091	201.000
-4.216	4.305	-20.033	0.055	-0.330	-0.135	95.000
-9.056	4.517	-18.504	0.042	-0.513	-0.067	73.000
